Board Size,Fraction,End Fraction,Num Iter
30.000000,0.040000,0.001111,200.000000
30.000000,0.050000,0.000000,11.000000
30.000000,0.060000,0.002222,200.000000
30.000000,0.070000,0.004444,5.000000
30.000000,0.080000,0.004444,200.000000
30.000000,0.090000,0.006667,200.000000
30.000000,0.100000,0.005556,200.000000
30.000000,0.110000,0.007778,200.000000
30.000000,0.120000,0.012222,200.000000
30.000000,0.130000,0.007778,200.000000
30.000000,0.140000,0.008889,200.000000
30.000000,0.150000,0.017778,57.000000
30.000000,0.160000,0.010000,200.000000
30.000000,0.170000,0.007778,200.000000
30.000000,0.180000,0.023333,200.000000
30.000000,0.190000,0.004444,50.000000
30.000000,0.200000,0.008889,23.000000
30.000000,0.210000,0.015556,200.000000
30.000000,0.220000,0.013333,37.000000
30.000000,0.230000,0.007778,46.000000
30.000000,0.240000,0.018889,32.000000
30.000000,0.250000,0.013333,200.000000
30.000000,0.260000,0.015556,200.000000
30.000000,0.270000,0.012222,35.000000
30.000000,0.280000,0.024444,200.000000
30.000000,0.290000,0.006667,200.000000
30.000000,0.300000,0.015556,200.000000
30.000000,0.310000,0.005556,27.000000
30.000000,0.320000,0.034444,200.000000
30.000000,0.330000,0.008889,200.000000
30.000000,0.340000,0.026667,200.000000
30.000000,0.350000,0.011111,34.000000
30.000000,0.360000,0.000000,46.000000
30.000000,0.370000,0.008889,65.000000
30.000000,0.380000,0.015556,200.000000
30.000000,0.390000,0.012222,60.000000
30.000000,0.400000,0.007778,200.000000
30.000000,0.410000,0.018889,53.000000
30.000000,0.420000,0.028889,200.000000
30.000000,0.430000,0.003333,86.000000
30.000000,0.440000,0.007778,200.000000
30.000000,0.450000,0.007778,64.000000
30.000000,0.460000,0.007778,45.000000
30.000000,0.470000,0.007778,77.000000
30.000000,0.480000,0.022222,200.000000
30.000000,0.490000,0.010000,78.000000
30.000000,0.500000,0.010000,56.000000
30.000000,0.510000,0.023333,200.000000
30.000000,0.520000,0.021111,200.000000
30.000000,0.530000,0.014444,200.000000
30.000000,0.540000,0.014444,200.000000
30.000000,0.550000,0.021111,200.000000
30.000000,0.560000,0.012222,200.000000
30.000000,0.570000,0.017778,200.000000
30.000000,0.580000,0.012222,200.000000
30.000000,0.590000,0.012222,200.000000
30.000000,0.600000,0.014444,200.000000
30.000000,0.610000,0.013333,200.000000
30.000000,0.620000,0.016667,33.000000
30.000000,0.630000,0.003333,42.000000
30.000000,0.640000,0.012222,200.000000
30.000000,0.650000,0.012222,200.000000
30.000000,0.660000,0.000000,34.000000
30.000000,0.670000,0.003333,23.000000
30.000000,0.680000,0.005556,200.000000
30.000000,0.690000,0.004444,200.000000
30.000000,0.700000,0.013333,200.000000
30.000000,0.710000,0.010000,200.000000
30.000000,0.720000,0.000000,9.000000
30.000000,0.730000,0.006667,15.000000
30.000000,0.740000,0.001111,200.000000
30.000000,0.750000,0.001111,200.000000
30.000000,0.760000,0.002222,200.000000
30.000000,0.770000,0.005556,200.000000
30.000000,0.780000,0.001111,200.000000
30.000000,0.790000,0.005556,200.000000
30.000000,0.800000,0.002222,200.000000
30.000000,0.810000,0.002222,8.000000
30.000000,0.820000,0.001111,200.000000
30.000000,0.830000,0.001111,200.000000
30.000000,0.840000,0.000000,3.000000
30.000000,0.850000,0.000000,3.000000
30.000000,0.860000,0.001111,200.000000
30.000000,0.870000,0.001111,200.000000
30.000000,0.880000,0.003333,200.000000
30.000000,0.890000,0.000000,4.000000
30.000000,0.900000,0.001111,200.000000
30.000000,0.910000,0.002222,200.000000
30.000000,0.920000,0.000000,2.000000
30.000000,0.930000,0.000000,3.000000
30.000000,0.940000,0.000000,2.000000
30.000000,0.950000,0.000000,2.000000
30.000000,0.960000,0.000000,2.000000
30.000000,0.970000,0.000000,2.000000
30.000000,0.980000,0.000000,2.000000
30.000000,0.990000,0.000000,2.000000
40.000000,0.010000,0.000625,200.000000
40.000000,0.020000,0.000625,200.000000
40.000000,0.030000,0.000625,200.000000
40.000000,0.040000,0.003750,200.000000
40.000000,0.050000,0.001875,200.000000
40.000000,0.060000,0.001875,200.000000
40.000000,0.070000,0.003125,200.000000
40.000000,0.080000,0.001250,200.000000
40.000000,0.090000,0.005000,200.000000
40.000000,0.100000,0.009375,200.000000
40.000000,0.110000,0.013125,200.000000
40.000000,0.120000,0.015625,200.000000
40.000000,0.130000,0.005625,200.000000
40.000000,0.140000,0.011875,200.000000
40.000000,0.150000,0.007500,200.000000
40.000000,0.160000,0.007500,200.000000
40.000000,0.170000,0.007500,200.000000
40.000000,0.180000,0.027500,200.000000
40.000000,0.190000,0.003750,200.000000
40.000000,0.200000,0.013125,200.000000
40.000000,0.210000,0.025000,61.000000
40.000000,0.220000,0.009375,200.000000
40.000000,0.230000,0.010625,200.000000
40.000000,0.240000,0.005625,70.000000
40.000000,0.250000,0.023125,200.000000
40.000000,0.260000,0.018125,200.000000
40.000000,0.270000,0.022500,200.000000
40.000000,0.280000,0.021875,200.000000
40.000000,0.290000,0.010000,200.000000
40.000000,0.300000,0.011875,39.000000
40.000000,0.310000,0.006250,200.000000
40.000000,0.320000,0.011875,49.000000
40.000000,0.330000,0.010000,51.000000
40.000000,0.340000,0.008750,67.000000
40.000000,0.350000,0.015000,200.000000
40.000000,0.360000,0.006875,200.000000
40.000000,0.370000,0.015000,200.000000
40.000000,0.380000,0.017500,200.000000
40.000000,0.390000,0.005625,58.000000
40.000000,0.400000,0.018125,200.000000
40.000000,0.410000,0.013125,200.000000
40.000000,0.420000,0.016250,200.000000
40.000000,0.430000,0.006250,50.000000
40.000000,0.440000,0.022500,200.000000
40.000000,0.450000,0.015000,200.000000
40.000000,0.460000,0.012500,200.000000
40.000000,0.470000,0.011875,200.000000
40.000000,0.480000,0.021250,200.000000
40.000000,0.490000,0.009375,200.000000
40.000000,0.500000,0.006875,200.000000
40.000000,0.510000,0.016875,200.000000
40.000000,0.520000,0.003125,200.000000
40.000000,0.530000,0.015625,200.000000
40.000000,0.540000,0.012500,200.000000
40.000000,0.550000,0.008750,37.000000
40.000000,0.560000,0.010625,200.000000
40.000000,0.570000,0.012500,200.000000
40.000000,0.580000,0.013750,200.000000
40.000000,0.590000,0.009375,200.000000
40.000000,0.600000,0.009375,36.000000
40.000000,0.610000,0.005625,200.000000
40.000000,0.620000,0.012500,200.000000
40.000000,0.630000,0.002500,55.000000
40.000000,0.640000,0.008750,200.000000
40.000000,0.650000,0.008750,200.000000
40.000000,0.660000,0.015000,200.000000
40.000000,0.670000,0.007500,200.000000
40.000000,0.680000,0.011875,200.000000
40.000000,0.690000,0.003125,200.000000
40.000000,0.700000,0.005625,200.000000
40.000000,0.710000,0.005000,200.000000
40.000000,0.720000,0.005000,200.000000
40.000000,0.730000,0.010000,200.000000
40.000000,0.740000,0.005000,200.000000
40.000000,0.750000,0.001875,200.000000
40.000000,0.760000,0.003125,200.000000
40.000000,0.770000,0.004375,200.000000
40.000000,0.780000,0.006875,200.000000
40.000000,0.790000,0.000000,7.000000
40.000000,0.800000,0.003750,200.000000
40.000000,0.810000,0.003750,200.000000
40.000000,0.820000,0.005000,200.000000
