Board Size,Fraction,End Fraction,Num Iter
30.000000,0.410000,0.018889,42.000000
30.000000,0.420000,0.007778,54.000000
30.000000,0.430000,0.022222,36.000000
30.000000,0.440000,0.027778,59.000000
30.000000,0.450000,0.016667,48.000000
30.000000,0.460000,0.024444,42.000000
30.000000,0.470000,0.016667,62.000000
30.000000,0.480000,0.004444,31.000000
30.000000,0.490000,0.006667,44.000000
30.000000,0.500000,0.000000,43.000000
30.000000,0.510000,0.012222,32.000000
30.000000,0.520000,0.014444,56.000000
30.000000,0.530000,0.017778,47.000000
30.000000,0.540000,0.000000,42.000000
30.000000,0.550000,0.016667,33.000000
30.000000,0.560000,0.015556,39.000000
30.000000,0.570000,0.024444,50.000000
30.000000,0.580000,0.020000,42.000000
30.000000,0.590000,0.012222,27.000000
30.000000,0.600000,0.012222,45.000000
30.000000,0.610000,0.011111,32.000000
30.000000,0.620000,0.025556,19.000000
30.000000,0.630000,0.016667,40.000000
30.000000,0.640000,0.021111,25.000000
30.000000,0.650000,0.015556,25.000000
30.000000,0.660000,0.018889,23.000000
30.000000,0.670000,0.017778,38.000000
30.000000,0.680000,0.010000,25.000000
30.000000,0.690000,0.014444,15.000000
30.000000,0.700000,0.015556,25.000000
30.000000,0.710000,0.011111,23.000000
30.000000,0.720000,0.010000,49.000000
30.000000,0.730000,0.007778,15.000000
30.000000,0.740000,0.000000,18.000000
30.000000,0.750000,0.013333,35.000000
30.000000,0.760000,0.000000,18.000000
30.000000,0.770000,0.006667,27.000000
30.000000,0.780000,0.003333,17.000000
30.000000,0.790000,0.000000,17.000000
30.000000,0.800000,0.003333,8.000000
30.000000,0.810000,0.000000,17.000000
30.000000,0.820000,0.000000,5.000000
30.000000,0.830000,0.000000,6.000000
30.000000,0.840000,0.000000,7.000000
30.000000,0.850000,0.003333,9.000000
30.000000,0.860000,0.000000,4.000000
30.000000,0.870000,0.000000,5.000000
30.000000,0.880000,0.000000,3.000000
30.000000,0.890000,0.003333,8.000000
30.000000,0.900000,0.003333,5.000000
30.000000,0.910000,0.000000,3.000000
30.000000,0.920000,0.000000,5.000000
30.000000,0.930000,0.000000,5.000000
30.000000,0.940000,0.000000,3.000000
30.000000,0.950000,0.000000,4.000000
30.000000,0.960000,0.000000,3.000000
30.000000,0.970000,0.000000,3.000000
30.000000,0.980000,0.000000,3.000000
30.000000,0.990000,0.000000,3.000000
40.000000,0.010000,0.000000,2.000000
40.000000,0.020000,0.000000,4.000000
40.000000,0.030000,0.002500,6.000000
40.000000,0.040000,0.000000,7.000000
40.000000,0.050000,0.000000,16.000000
40.000000,0.060000,0.006250,16.000000
40.000000,0.070000,0.005000,9.000000
40.000000,0.080000,0.001875,26.000000
40.000000,0.090000,0.006875,10.000000
40.000000,0.100000,0.003750,54.000000
40.000000,0.110000,0.005625,22.000000
40.000000,0.120000,0.001875,24.000000
40.000000,0.130000,0.008750,33.000000
40.000000,0.140000,0.013125,24.000000
40.000000,0.150000,0.011250,48.000000
40.000000,0.160000,0.006250,37.000000
40.000000,0.170000,0.013125,56.000000
40.000000,0.180000,0.018125,30.000000
40.000000,0.190000,0.007500,71.000000
40.000000,0.200000,0.020625,38.000000
40.000000,0.210000,0.021875,47.000000
40.000000,0.220000,0.016875,56.000000
40.000000,0.230000,0.010000,78.000000
40.000000,0.240000,0.013125,73.000000
40.000000,0.250000,0.013750,86.000000
40.000000,0.260000,0.012500,58.000000
40.000000,0.270000,0.011875,49.000000
40.000000,0.280000,0.018125,59.000000
40.000000,0.290000,0.015000,68.000000
40.000000,0.300000,0.015000,47.000000
40.000000,0.310000,0.008125,67.000000
40.000000,0.320000,0.017500,38.000000
40.000000,0.330000,0.001875,59.000000
40.000000,0.340000,0.002500,96.000000
40.000000,0.350000,0.015000,42.000000
40.000000,0.360000,0.011875,51.000000
40.000000,0.370000,0.023125,65.000000
40.000000,0.380000,0.014375,48.000000
40.000000,0.390000,0.015000,55.000000
40.000000,0.400000,0.014375,57.000000
40.000000,0.410000,0.012500,47.000000
40.000000,0.420000,0.018750,83.000000
40.000000,0.430000,0.018750,40.000000
40.000000,0.440000,0.013125,53.000000
40.000000,0.450000,0.017500,65.000000
40.000000,0.460000,0.015625,61.000000
40.000000,0.470000,0.014375,60.000000
40.000000,0.480000,0.012500,57.000000
40.000000,0.490000,0.008750,64.000000
40.000000,0.500000,0.018125,65.000000
40.000000,0.510000,0.009375,55.000000
40.000000,0.520000,0.018125,49.000000
40.000000,0.530000,0.021250,39.000000
40.000000,0.540000,0.010625,53.000000
40.000000,0.550000,0.023750,55.000000
40.000000,0.560000,0.017500,43.000000
40.000000,0.570000,0.010000,90.000000
40.000000,0.580000,0.019375,51.000000
40.000000,0.590000,0.016875,42.000000
40.000000,0.600000,0.029375,27.000000
40.000000,0.610000,0.016875,53.000000
40.000000,0.620000,0.009375,38.000000
40.000000,0.630000,0.009375,48.000000
40.000000,0.640000,0.014375,43.000000
40.000000,0.650000,0.005625,21.000000
40.000000,0.660000,0.026875,45.000000
40.000000,0.670000,0.021250,47.000000
40.000000,0.680000,0.011250,53.000000
40.000000,0.690000,0.007500,61.000000
